"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:51:36:51:75""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:62:53:62:78""]].","/java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java","63","25","63","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:84:33:84:77""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:144:53:144:83""]].","/java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java","145","25","145","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:84:33:84:77""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:89:27:89:57""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:175:27:175:57""]].","/java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java","159","32","159","38"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:84:33:84:77""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:175:27:175:57""]].","/java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java","181","23","181","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:84:33:84:77""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:175:27:175:57""]].","/java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java","185","53","185","60"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/PathTraversal.java:25:28:25:42""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/PathTraversal.java:30:31:30:45""]].","/java-sec-code-master/src/main/java/org/joychou/controller/PathTraversal.java","44","13","44","13"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/PathTraversal.java:25:28:25:42""]].
This path depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/PathTraversal.java:30:31:30:45""]].","/java-sec-code-master/src/main/java/org/joychou/controller/PathTraversal.java","45","46","45","63"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/config/TomcatFilterMemShell.java:81:20:81:54""]].","/java-sec-code-master/src/main/java/org/joychou/config/TomcatFilterMemShell.java","82","57","82","59"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/CommandInject.java:25:30:25:44""]].","/java-sec-code-master/src/main/java/org/joychou/controller/CommandInject.java","28","53","28","59"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/CommandInject.java:42:23:42:47""]].","/java-sec-code-master/src/main/java/org/joychou/controller/CommandInject.java","45","53","45","59"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/CommandInject.java:52:33:52:47""]].","/java-sec-code-master/src/main/java/org/joychou/controller/CommandInject.java","58","53","58","59"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Rce.java:31:31:31:40""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Rce.java","36","34","36","36"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Rce.java:63:34:63:43""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Rce.java","69","64","69","69"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/util/WebUtils.java:26:40:26:56""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java","28","16","28","37"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java:38:20:38:50""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java","41","16","41","37"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java:53:28:53:44""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java","57","16","57","37"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java:68:28:68:44""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java","72","16","72","37"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java:77:26:77:57""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java","78","16","78","37"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java:83:26:83:65""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Cookies.java","84","16","84","37"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:84:33:84:77""]].
Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java:89:27:89:57""]].","/java-sec-code-master/src/main/java/org/joychou/controller/FileUpload.java","154","16","154","72"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/IPForge.java:34:21:34:50""]].","/java-sec-code-master/src/main/java/org/joychou/controller/IPForge.java","36","20","36","21"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///java-sec-code-master/src/main/java/org/joychou/controller/Log4j.java:19:25:19:36""]].","/java-sec-code-master/src/main/java/org/joychou/controller/Log4j.java","21","16","21","20"
