"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","[[""User-provided value""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/RceController.java:24:29:24:75""]] flows to here and is used in a command.","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/RceController.java","29","60","29","67"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","[[""User-provided value""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/RceController.java:47:29:47:73""]] flows to here and is used in a command.","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/RceController.java","53","57","53","59"
"Query built from user-controlled sources","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","Query might include code from [[""this user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/IndexController.java:30:30:30:78""]].
Query might include code from [[""this user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/IndexController.java:47:38:47:62""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/db/IndexDb.java","43","35","43","37"
"Query built from user-controlled sources","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","Query might include code from [[""this user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/IndexController.java:64:39:64:105""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/db/IndexDb.java","49","35","49","49"
"Query built from user-controlled sources","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","Query might include code from [[""this user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/IndexController.java:59:39:59:63""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/db/IndexDb.java","59","35","59","44"
"Query built from user-controlled sources","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","Query might include code from [[""this user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/IndexController.java:36:29:36:63""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/db/IndexDb.java","67","35","67","43"
"Query built from user-controlled sources","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","error","Query might include code from [[""this user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/IndexController.java:42:33:42:65""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/db/IndexDb.java","75","35","75","43"
"Deserialization of user-controlled data","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization of [[""user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/FastJsonController.java:15:35:15:63""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/FastJsonController.java","17","27","17","68"
"Resolving XML external entity in user-controlled data","Parsing user-controlled XML documents and allowing expansion of external entity references may lead to disclosure of confidential data or denial of service.","error","Unsafe parsing of XML file from [[""user input""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/XXEController.java:16:23:16:68""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/XXEController.java","19","58","19","63"
"Server-side request forgery","Making web requests based on unvalidated user-input may cause the server to communicate with malicious servers.","error","Potential server-side request forgery due to [[""a user-provided value""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/SSRFController.java:24:23:24:66""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/SSRFController.java","27","64","27","66"
"Server-side request forgery","Making web requests based on unvalidated user-input may cause the server to communicate with malicious servers.","error","Potential server-side request forgery due to [[""a user-provided value""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/SSRFController.java:64:24:64:67""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/SSRFController.java","67","39","67","46"
"Server-side request forgery","Making web requests based on unvalidated user-input may cause the server to communicate with malicious servers.","error","Potential server-side request forgery due to [[""a user-provided value""|""relative:///micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/SSRFController.java:77:24:77:67""]].","/micro_service_seclab-main/src/main/java/com/l4yn3/microserviceseclab/controller/SSRFController.java","80","39","80","41"
